title,url,final_url,status,dur_s,result
肥猫,http://肥猫.net/,http://肥猫.net/,,0.0,error:'latin-1' codec can't encode characters in position 0-1: ord
摸鱼儿,http://摸鱼儿.cc,http://摸鱼儿.cc,,0.0,error:'latin-1' codec can't encode characters in position 0-2: ord
饭太硬,http://www.饭太硬.net/tv,http://www.饭太硬.net/tv,,0.0,error:'latin-1' codec can't encode characters in position 4-6: ord
王二小,http://new.王二小放牛娃.top,http://new.王二小放牛娃.top,,0.0,error:'latin-1' codec can't encode characters in position 4-9: ord
影视大全,https://yingshidaquan.top/,https://yingshidaquan.top/,,8.2,error:Remote end closed connection without response
937影视,https://www.937tv.vip,https://www.937tv.vip,,10.4,error:The read operation timed out
奈飞工厂,https://www.netflixgc.com,https://www.netflixgc.com,,12.5,error:The read operation timed out
泥视频,https://www.nivod.vip,https://www.nivod.vip,,14.4,error:The read operation timed out
无名,https://6800.kstore.vip/fish.json,https://6800.kstore.vip/fish.json,401,0.1,http_401
LIBVIO,https://libviobd.com,https://libviobd.com,403,0.7,http_403
厂长资源,https://www.czzymovie.com,https://www.czzymovie.com,403,1.5,http_403
爱壹帆,https://iyf.tv,https://iyf.tv,403,1.7,http_403
注视影视,https://gaze.red/,https://gaze.red/,403,3.1,http_403
No影视,https://novipnoad.org/,https://novipnoad.org/,403,3.6,http_403
BD影视聚合,https://www.juhebd.com/,https://www.juhebd.com/,403,1.6,http_403
高清族,https://hdzu.org,https://hdzu.org,403,1.7,http_403
高清MP4,https://www.mp4ba.vip,https://www.mp4ba.vip,403,3.6,http_403
剧OK,https://juok3.top/,https://juok3.top/,403,3.2,http_403
歪比巴卜,https://wbbb1.com/,https://wbbb1.com/,403,4.6,http_403
Stack Overflow,stackoverflow.com,https://stackoverflow.com,403,6.9,http_403
Behance,behance.net,https://behance.net,403,13.1,http_403
字幕库,https://zimuku.org,https://zimuku.org,404,1.6,http_404
VOX,http://rihou.cc:88/demo.php,http://rihou.cc:88/demo.php,404,0.1,http_404
蛋蛋奇,https://www.dandanqi.cc/,https://www.dandanqi.cc/,404,2.4,http_404
SeleneTV,https://b.zhuiju.me/archives/4/,https://b.zhuiju.me/archives/4/,502,1.4,http_502
iOS影视APP,https://b.zhuiju.me/archives/23/,https://b.zhuiju.me/archives/23/,502,1.6,http_502
夸克搜,https://kkso.net,https://kkso.net,502,1.3,http_502
PanSou,https://pansou.de,https://pansou.de,502,1.6,http_502
谷哥搜,https://gugeso.com/,https://gugeso.com/,502,2.5,http_502
